id,name,status,source,shop_url,image_url,local_image_path
64,Rafhlöðurekki 310662 Með Rafhlöðum F. Ups 310172 3kva,updated,iskraft,https://iskraft.husa.is/afldreifibunadur/varaaflgjafar/rafhlodurekki-310662-med-rafhlodum-f-ups-310172-3kva/,https://iskraft.husa.is/media/rwxpmszy/6108358.jpg?height=590&width=590&rmode=boxpad&bgcolor=fff&format=webp,/static/inventory_images/products/iskraft_64.webp
65,Rafhlöðurekki 310663 Með Rafhlöðum F. Ups 310173 5kva,updated,iskraft,https://iskraft.husa.is/afldreifibunadur/varaaflgjafar/rafhlodurekki-310663-med-rafhlodum-f-ups-310173-5kva/,https://iskraft.husa.is/media/c2shfica/6108359.jpg?height=590&width=590&rmode=boxpad&bgcolor=fff&format=webp,/static/inventory_images/products/iskraft_65.webp
66,"Upphengi 310952 Í 19"" Rekka Fyrir Ups Daker Dk Plus",updated,iskraft,https://iskraft.husa.is/afldreifibunadur/varaaflgjafar/upphengi-310952-i-19-rekka-fyrir-ups-daker-dk-plus/,https://iskraft.husa.is/media/fsehbf0h/6108363.jpg?height=590&width=590&rmode=boxpad&bgcolor=fff&format=webp,/static/inventory_images/products/iskraft_66.webp
67,"Ups Daker Dk Plus 310170 1000va Turn/19"" Rekka 2u Lcd Skjár",updated,iskraft,https://iskraft.husa.is/afldreifibunadur/varaaflgjafar/ups-daker-dk-plus-310170-1000va-turn19-rekka-2u-lcd-skjar/,https://iskraft.husa.is/media/fnelacp4/6108346.jpg?height=590&width=590&rmode=boxpad&bgcolor=fff&format=webp,/static/inventory_images/products/iskraft_67.webp
68,Ups Keor 310082 800va 4+2 Tenglar 480w/15mín + Usb Hleðslu,updated,iskraft,https://iskraft.husa.is/afldreifibunadur/varaaflgjafar/ups-keor-310082-800va-4plus2-tenglar-480w15min-plus-usb-hledslu/,https://iskraft.husa.is/media/rlagonlk/6108322.jpg?height=590&width=590&rmode=boxpad&bgcolor=fff&format=webp,/static/inventory_images/products/iskraft_68.webp
69,"Ups Keor Sp 310187 1000va 2+2 Tenglar, Samskipt.Port Usb Hid",updated,iskraft,https://iskraft.husa.is/afldreifibunadur/varaaflgjafar/ups-keor-sp-310187-1000va-2plus2-tenglar-samskiptport-usb-hid/,https://iskraft.husa.is/media/yxthpe3v/6108328.jpg?height=590&width=590&rmode=boxpad&bgcolor=fff&format=webp,/static/inventory_images/products/iskraft_69.webp
70,"Ups Keor Sp 310190 1500va 2+2 Tenglar, Samskipt.Port Usb Hid",updated,iskraft,https://iskraft.husa.is/afldreifibunadur/varaaflgjafar/ups-keor-sp-310190-1500va-2plus2-tenglar-samskiptport-usb-hid/,https://iskraft.husa.is/media/v2rli3nx/6108329.jpg?height=590&width=590&rmode=boxpad&bgcolor=fff&format=webp,/static/inventory_images/products/iskraft_70.webp
71,"Ups Keor Sp 310193 2000va 2+2 Tenglar, Samskipt.Port Usb Hid",updated,iskraft,https://iskraft.husa.is/afldreifibunadur/varaaflgjafar/ups-keor-sp-310193-2000va-2plus2-tenglar-samskiptport-usb-hid/,https://iskraft.husa.is/media/iurjsc3m/6108330.jpg?height=590&width=590&rmode=boxpad&bgcolor=fff&format=webp,/static/inventory_images/products/iskraft_71.webp
72,ENDAGREINING 150-240mm² : AB/G-2,updated,reykjafell,https://www.reykjafell.is/vorur?q=0214651,"https://images.prismic.io/reykjafell/15943f67-cd84-444e-838e-5916a546f1e8_default-share.jpg?auto=compress,format&amp;rect=0,0,1200,630&amp;w=1600&amp;h=840",/static/inventory_images/products/reykjafell_72.jpg
73,ENDAGREINING 16-95mm² : AB/G-1,updated,reykjafell,https://www.reykjafell.is/vorur?q=0214650,"https://images.prismic.io/reykjafell/15943f67-cd84-444e-838e-5916a546f1e8_default-share.jpg?auto=compress,format&amp;rect=0,0,1200,630&amp;w=1600&amp;h=840",/static/inventory_images/products/reykjafell_73.jpg
